data,sku,tipo,qtd,saldo
2024-01-01,SKU-0001,entrada,131,131
2024-01-01,SKU-0002,entrada,509,509
2024-01-01,SKU-0002,saida,-49,460
2024-01-01,SKU-0003,entrada,60,60
2024-01-01,SKU-0004,entrada,61,61
2024-01-01,SKU-0005,entrada,36,36
2024-01-01,SKU-0005,saida,-2,34
2024-01-01,SKU-0006,entrada,65,65
2024-01-01,SKU-0007,entrada,31,31
2024-01-01,SKU-0007,saida,-10,21
2024-01-01,SKU-0008,entrada,128,128
2024-01-01,SKU-0009,entrada,54,54
2024-01-01,SKU-0009,saida,-18,36
2024-01-01,SKU-0010,entrada,167,167
2024-01-01,SKU-0010,saida,-3,164
2024-01-01,SKU-0011,entrada,53,53
2024-01-01,SKU-0012,entrada,60,60
2024-01-01,SKU-0013,entrada,365,365
2024-01-01,SKU-0013,saida,-17,348
2024-01-01,SKU-0014,entrada,58,58
2024-01-01,SKU-0015,entrada,100,100
2024-01-01,SKU-0016,entrada,25,25
2024-01-01,SKU-0017,entrada,409,409
2024-01-01,SKU-0018,entrada,103,103
2024-01-01,SKU-0019,entrada,106,106
2024-01-01,SKU-0020,entrada,110,110
2024-01-01,SKU-0021,entrada,121,121
2024-01-01,SKU-0022,entrada,24,24
2024-01-01,SKU-0023,entrada,25,25
2024-01-01,SKU-0024,entrada,981,981
2024-01-01,SKU-0024,saida,-23,958
2024-01-01,SKU-0025,entrada,424,424
2024-01-01,SKU-0025,saida,-15,409
2024-01-01,SKU-0026,entrada,705,705
2024-01-01,SKU-0026,saida,-9,696
2024-01-01,SKU-0027,entrada,816,816
2024-01-01,SKU-0027,saida,-38,778
2024-01-01,SKU-0028,entrada,84,84
2024-01-01,SKU-0029,entrada,76,76
2024-01-01,SKU-0030,entrada,172,172
2024-01-01,SKU-0031,entrada,24,24
2024-01-01,SKU-0032,entrada,60,60
2024-01-01,SKU-0033,entrada,121,121
2024-01-01,SKU-0033,saida,-3,118
2024-01-01,SKU-0034,entrada,25,25
2024-01-01,SKU-0034,saida,-3,22
2024-01-01,SKU-0035,entrada,523,523
2024-01-01,SKU-0035,saida,-5,518
2024-01-01,SKU-0036,entrada,101,101
2024-01-01,SKU-0036,saida,-24,77
2024-01-01,SKU-0037,entrada,131,131
2024-01-01,SKU-0038,entrada,94,94
2024-01-01,SKU-0039,entrada,430,430
2024-01-01,SKU-0039,saida,-11,419
2024-01-01,SKU-0040,entrada,60,60
2024-01-01,SKU-0041,entrada,66,66
2024-01-01,SKU-0042,entrada,24,24
2024-01-01,SKU-0043,entrada,88,88
2024-01-01,SKU-0044,entrada,36,36
2024-01-01,SKU-0045,entrada,835,835
2024-01-01,SKU-0046,entrada,122,122
2024-01-01,SKU-0046,saida,-10,112
