id,cliente_id,vendedor_id,data,status
1,12,11,2024-01-01,entregue
2,14,7,2024-01-01,entregue
3,25,11,2024-01-01,entregue
4,26,1,2024-01-01,entregue
5,42,12,2024-01-01,entregue
6,45,12,2024-01-01,entregue
7,49,8,2024-01-01,entregue
8,64,1,2024-01-01,entregue
9,77,12,2024-01-01,entregue
10,101,12,2024-01-01,entregue
11,125,5,2024-01-01,entregue
12,149,6,2024-01-01,entregue
13,154,3,2024-01-01,entregue
14,159,11,2024-01-01,entregue
15,162,11,2024-01-01,entregue
16,168,8,2024-01-01,entregue
17,175,11,2024-01-01,entregue
18,180,10,2024-01-01,entregue
19,183,8,2024-01-01,entregue
20,189,2,2024-01-01,entregue
21,206,6,2024-01-01,entregue
22,269,11,2024-01-01,entregue
23,308,12,2024-01-01,entregue
24,318,10,2024-01-01,entregue
25,344,2,2024-01-01,entregue
26,356,3,2024-01-01,entregue
27,367,2,2024-01-01,entregue
28,375,6,2024-01-01,entregue
29,411,3,2024-01-01,entregue
30,425,5,2024-01-01,entregue
31,431,4,2024-01-01,entregue
32,442,10,2024-01-01,entregue
33,446,7,2024-01-01,entregue
34,447,9,2024-01-01,entregue
35,514,12,2024-01-01,entregue
36,542,6,2024-01-01,entregue
37,574,2,2024-01-01,entregue
38,587,9,2024-01-01,entregue
39,591,6,2024-01-01,entregue
40,594,5,2024-01-01,entregue
41,650,3,2024-01-01,entregue
42,651,11,2024-01-01,entregue
43,652,5,2024-01-01,entregue
44,658,9,2024-01-01,entregue
45,696,5,2024-01-01,entregue
46,706,10,2024-01-01,entregue
47,721,12,2024-01-01,entregue
48,734,1,2024-01-01,entregue
49,749,4,2024-01-01,entregue
50,765,11,2024-01-01,entregue
51,783,2,2024-01-01,entregue
52,805,7,2024-01-01,entregue
53,834,6,2024-01-01,entregue
54,848,11,2024-01-01,entregue
55,851,10,2024-01-01,entregue
56,866,11,2024-01-01,entregue
57,868,7,2024-01-01,entregue
58,871,2,2024-01-01,entregue
59,895,11,2024-01-01,entregue
60,897,9,2024-01-01,entregue
61,920,5,2024-01-01,entregue
62,927,11,2024-01-01,entregue
63,959,3,2024-01-01,entregue
64,1021,1,2024-01-01,entregue
65,1032,1,2024-01-01,entregue
